Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,SMA_20,SMA_50,EMA_12,EMA_20,EMA_26,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volume_SMA_20
2026-03-03 00:00:00-05:00,178.4803396065267,180.8901975001603,176.91041730394699,180.04025268554688,178099400,0.0,0.0,NVDA,,,180.04025268554688,180.04025268554688,180.04025268554688,,0.0,0.0,0.0,,,,
2026-03-04 00:00:00-05:00,180.4302401537762,184.69000418349444,180.0502558302461,183.03009033203125,177731200,0.0,0.0,NVDA,,,180.50022770808295,180.3249991280692,180.261722140842,,0.23850556724093508,0.04770111344818702,0.19080445379274807,,,,
2026-03-05 00:00:00-05:00,181.1601973472636,184.05004039552568,177.87038204113773,183.330078125,198779700,0.0,0.0,NVDA,,,180.93558931068557,180.6111971277769,180.48900776929815,,0.4465815413874168,0.127477199036033,0.3191043423513838,,,,
2026-03-06 00:00:00-05:00,179.83025866705609,182.7500987288974,176.81043317462274,177.8103790283203,189021900,0.0,0.0,NVDA,,,180.45478772878323,180.34445254687628,180.29059082552203,,0.16419690326119962,0.13482113988106634,0.029375763380133285,,,,
2026-03-09 00:00:00-04:00,176.82042919903367,182.90010189125664,175.55049367782217,182.64010620117188,177213600,0.0,0.0,NVDA,,,180.7909905706892,180.56308622823778,180.4646290014961,,0.32636156919309656,0.1731292257434724,0.15323234344962416,,,,
2026-03-10 00:00:00-04:00,182.39012758732315,186.42991760168223,182.00014929336922,184.760009765625,179118500,0.0,0.0,NVDA,,,181.40160890837163,180.96279323179846,180.78280535439453,,0.6188035539771022,0.26226409139019835,0.35653946258690383,,,,
2026-03-11 00:00:00-04:00,185.91000366210938,187.6199951171875,184.4499969482422,186.02999877929688,145280400,0.01,0.0,NVDA,,,182.11366888851398,181.44538423632213,181.17148634883173,,0.9421825396822499,0.3982477810486087,0.5439347586336412,,,,
2026-03-12 00:00:00-04:00,184.0500030517578,184.94000244140625,181.75,183.13999938964844,155762700,0.0,0.0,NVDA,,,182.2715658886885,181.60677615568653,181.31730212963296,,0.95426375905555,0.5094509766499971,0.444812782405553,,,,
2026-03-13 00:00:00-04:00,184.9199981689453,186.08999633789062,179.94000244140625,180.25,160988400,0.0,0.0,NVDA,,,181.9605557519672,181.47755937895448,181.2382427126231,,0.7223130393441011,0.5520233891888179,0.1702896501552832,,,,
2026-03-16 00:00:00-04:00,182.97000122070312,188.8800048828125,181.41000366210938,183.22000122070312,217307400,0.0,0.0,NVDA,,,182.1543165933112,181.64350622102577,181.38503963914755,,0.7692769541636437,0.595474102183783,0.17380285197986067,,,,
